Component,Quantity Per PCB,References,Value,Footprint,Tolerance,MFN,MPN,D1N,D1PN,Maximum Voltage,Maximum Power
1,3,C1 C64 C68,100n,C_0603_1608Metric,10%,Samsung,CL10B104KC8NNNC,Digikey,1276-6807-1-ND,100.0V,
2,21,C7 C13 C14 C16 C19 C21 C24 C26 C32 C37 C39 C40 C42 C46 C50 C53 C56 C61 C62 C63 C73,100n,C_0402_1005Metric,10%,Samsung,CL05A104KA5NNNC,Digikey,1276-1043-1-ND,25.0V,
3,5,C3 C5 C9 C22 C25,100u,CP_Elec_10x10,20%,Panasonic,EEE-1JA101P,Digikey,PCE3942CT-ND,63.0V,
4,2,C54 C57,16p,C_0402_1005Metric,5%,Murata,GJM1555C1H160GB01D,Digikey,490-8081-1-ND,50.0V,
5,14,C2 C8 C15 C18 C20 C27 C30 C33 C36 C38 C48 C52 C60 C67,1u,C_0402_1005Metric,10%,Murata,GRM155R61E105KA12D,Digikey,490-10017-1-ND,25.0V,
6,4,C12 C31 C35 C41,22u,C_1210_3225Metric,10%,Samsung,CL32A226KAJNNNE,Digikey,1276-1101-1-ND,25V,
7,3,C11 C17 C34,2n2,C_0805_2012Metric,10%,Samsung,CL21B222KBCNNNC,Digikey,1276-1825-1-ND,50V,
8,2,C47 C49,2u2,C_0402_1005Metric,10%,Murata,GRM155R61E225KE11D,Digikey,490-12703-1-ND,25.0V,
9,1,C10,47p,C_0402_1005Metric,5%,Murata,GRM1555C1E470JA01D,Digikey,490-10683-1-ND,50V,
10,3,C4 C6 C45,4u7,C_1210_3225Metric,10%,Samsung,CL32B475KCVZW6E,Digikey,1276-7060-1-ND,100V,
11,3 (DNF),C23 C28 C29,DNP,C_0603_1608Metric,,DNP,DNP,DNP,DNP,,
12,2,D0 D2,LTST-C190GKT,D_0603_1608Metric,,Lite-On,LTST-C190GKT,Digikey,160-1183-1-ND,,
13,1,D3,SMLP34RGB,rhom-SMLP34RGB-fp,,Rohm,SMLP34RGB2W3,Digikey,SMLP34RGB2W3CT-ND,,
14,2,J1 J4,43650-0510,molex-436500511,,Molex,436500510,Digikey,WM1888CT-ND,,
15,1,J2,436500313,molex-microfit-3-pkg_242,,Molex,436500313,Digikey,WM1896CT-ND,,
16,1 (DNF),J3,DNP,TC2030-MCP-NL-pkg,,DNP,DNP,DNP,DNP,,
17,1,L2,82u,L_7.3x7.3_H4.5,20%,Eaton,DR74-820-R,Digikey,513-1666-1-ND,,
18,6,R2 R5 R10 R19 R27 R50,150R,R_0402_1005Metric,1%,Panasonic,ERJ-2RKF1500X,Digikey,P150LCT-ND,,0.0625W
19,1,R17,180k,R_0402_1005Metric,1%,Yageo,RC0402FR-07180KL,Digikey,311-180KLRCT-ND,,0.0625W
20,1,R32,1R,R_0805_2012Metric,1%,Panasonic,ERJ-6DQF1R0V,Digikey,P19268CT-ND,,0.333W
21,1,R7,255k,R_0603_1608Metric,1%,Yageo,RC0603FR-07255KL,Digikey,311-255KHRCT-ND,,0.1W
22,6,R9 R21 R39 R55 R61 R63,2k21,R_0402_1005Metric,1%,Panasonic,ERJ-2RKF2211X,Digikey,P2.21KLCT-ND,,0.0625W
23,1,R1,40k2,R_0805_2012Metric,1%,Yageo,RC0805FR-0740K2L,Digikey,311-40.2KCRCT-ND,,0.125W
24,1,R8,453k,R_0603_1608Metric,1%,Yageo,RC0603FR-07453KL,Digikey,311-453KHRCT-ND,,0.1W
25,4,R0 R11 R15 R62,49k9,R_0603_1608Metric,1%,Panasonic,ERJ-3EKF4992V,Digikey,P49.9KHCT-ND,,0.0625W 0.1W
26,2,R4 R6,56R2,R_0402_1005Metric,1%,Yageo,RC0402FR-0756R2L,Digikey,311-56.2LRCT-ND,,0.0625W
27,1,R16,681k,R_0402_1005Metric,1%,Yageo,RC0402FR-07681KL,Digikey,YAG3212CT-ND,,0.0625W
28,3 (DNF),R12 R13 R14,DNP,R_0805_2012Metric,,DNP,DNP,DNP,DNP,,
29,1,S1,B3U-1000P,SW_B3U-1000P,,Omron,B3U-1000P,Digikey,SW1020CT-ND,,
30,1,U13,AS5047U,TSSOP-14_4.4x5mm_P0.65mm,,AMS,AS5047U-HTSM,Mouser,985-AS5047U-HTSM,,
31,1,U5,DRV8312,HTSSOP-44,,TI,DRV8312DDWR,Digikey,296-29649-1-ND,,
32,1,U2,IIS328DQ,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,ST,IIS328DQTR,Digikey,497-15701-1-ND,,
33,3,U17 U18 U19,INA250,TSSOP-16_4.4x5mm_P0.65mm,,TI,INA250A1PWR,Digikey,296-43802-1-ND,,
34,1,U6,ISL32458E,SOIC-8_3.9x4.9mm_P1.27mm,,Renesas,ISL32458EIBZ-T7A,Digikey,ISL32458EIBZ-T7ACT-ND,,
35,1,U4,LM5163,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,,TI,LM5163QDDARQ1,Digikey,296-53561-1-ND,,
36,1,U1,LMZ21700SIL,SIL0008E,,TI,LMZ21700SILR,Digikey,296-44325-1-ND,,
37,1,U12,MCP9808,MSOP-8_3x3mm_P0.65mm,,Microchip,MCP9808T-E/MS,Digikey,MCP9808T-E/MSCT-ND,,
38,1,U8,REF3312AIDBZ,SOT-23,,TI,REF3312AIDBZ,Digikey,296-41484-1-ND,,
39,1,U7,SN74LVC1G66DBV,SOT-23-5,,TI,SN74LVC1G66DBV,Digikey,296-13253-1-ND,,
40,1,U9,STM32F405RG,LQFP-64_10x10mm_P0.5mm,,ST,STM32F405RGT6,Digikey,497-11767-ND,,
41,1,U3,TLV702,SOT-23-5,,TI,TLV70233DBVR,Digikey,296-32415-1-ND,,
42,1,X0,ABM7-8.000MHZ-D2Y-T,ABM7-8MHZ-D2Y-T-pkg,,Abracon LLC,ABM7-8.000MHZ-D2Y-T,Digikey,535-9831-1-ND,,





Component Groups:,42
Component Count:,112
Fitted Components:,105
Number of PCBs:,1
Total components:,105
Schematic Version:,A
Schematic Date:,2019-08-22
PCB Variant:,['default']
BoM Date:,Fri Aug 23 17:03:08 2019
Schematic Source:,/home/mquigley/hw/bldc-controller-hardware/BLDC.sch
KiCad Version:,Eeschema 6.0.0-unknown-d1b2a6e~100~ubuntu18.04.1
