Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",-5.255906,-4.752461,90.000000,bottom
"C13","100n","C_0402_1005Metric",-4.799213,-4.153543,90.000000,bottom
"C14","100n","C_0402_1005Metric",-4.799213,-4.433071,90.000000,bottom
"C15","1u","C_0402_1005Metric",-5.653543,-4.204724,0.000000,bottom
"C16","100n","C_0402_1005Metric",-4.799213,-4.715945,90.000000,bottom
"C18","1u","C_0402_1005Metric",-5.649606,-4.811024,0.000000,bottom
"C19","100n","C_0402_1005Metric",-5.921260,-3.769685,90.000000,bottom
"C24","100n","C_0402_1005Metric",-5.559055,-3.275591,0.000000,bottom
"C26","100n","C_0402_1005Metric",-5.551181,-3.850394,180.000000,bottom
"C27","1u","C_0402_1005Metric",-5.559055,-3.236220,0.000000,bottom
"C30","1u","C_0402_1005Metric",-5.551181,-3.889764,180.000000,bottom
"C32","100n","C_0402_1005Metric",-6.338583,-4.350394,-90.000000,bottom
"C36","1u","C_0402_1005Metric",-6.300197,-4.350394,-90.000000,bottom
"C38","1u","C_0402_1005Metric",-5.350689,-3.480315,90.000000,bottom
"C39","100n","C_0402_1005Metric",-6.000000,-3.342520,90.000000,bottom
"C40","100n","C_0402_1005Metric",-5.390059,-3.480315,90.000000,bottom
"C42","100n","C_0402_1005Metric",-5.736220,-4.468504,90.000000,bottom
"C47","2u2","C_0402_1005Metric",-5.818898,-3.259843,-90.000000,bottom
"C48","1u","C_0402_1005Metric",-5.960630,-3.769685,90.000000,bottom
"C49","2u2","C_0402_1005Metric",-5.996063,-3.712598,180.000000,bottom
"C50","100n","C_0402_1005Metric",-5.275591,-4.830709,0.000000,bottom
"C52","1u","C_0402_1005Metric",-5.374016,-4.811024,180.000000,bottom
"C53","100n","C_0402_1005Metric",-5.224409,-4.409449,0.000000,bottom
"C54","16p","C_0402_1005Metric",-5.381890,-3.748031,-90.000000,bottom
"C56","100n","C_0402_1005Metric",-5.248031,-4.181102,0.000000,bottom
"C57","16p","C_0402_1005Metric",-5.381890,-3.633858,90.000000,bottom
"C60","1u","C_0402_1005Metric",-5.653543,-4.165354,0.000000,bottom
"C61","100n","C_0402_1005Metric",-5.353740,-4.204724,180.000000,bottom
"C62","100n","C_0402_1005Metric",-5.846457,-4.314961,0.000000,bottom
"C63","100n","C_0402_1005Metric",-5.890354,-3.330709,180.000000,bottom
"C64","100n","C_0603_1608Metric",-5.226378,-4.490157,-90.000000,bottom
"C67","1u","C_0402_1005Metric",-5.890354,-3.291339,180.000000,bottom
"C68","100n","C_0603_1608Metric",-5.251969,-4.263780,-90.000000,bottom
"D1","SMF3.3","D_SOD-123F",-5.826772,-4.787402,180.000000,bottom
"D4","SMF3.3","D_SOD-123F",-6.614173,-4.118110,90.000000,bottom
"R0","49k9","R_0603_1608Metric",-5.795276,-4.562992,180.000000,bottom
